index,company,url,market_category,primary_audience,offer_type,hero_h1_live,main_cta_live,main_cta_href,cta_confidence,proof_signals_detected,page_length_category,screenshot_width,screenshot_height,label_node_id,screenshot_node_id,screenshot_node_name,x_position,live_fetch_status,final_url_checked,analysis_notes,ai_in_prominent_messaging,ai_prominent_evidence,tracking_scripts_detected,tracking_vendors_detected,active_content_motion_detected,content_motion_evidence,free_or_downloadable_resource_detected,downloadable_resource_evidence,privacy_or_terms_detected,privacy_terms_evidence,question_analysis_fetch_status,question_analysis_final_url
84,Tempus,https://www.tempus.com/,Data / interoperability / life sciences,Healthcare enterprises / life sciences,Data platform / infrastructure,,CONTACT US,,manual web,,short,1155,522,155:218,156:260,image 86,72371,ok via web fallback,https://www.tempus.com/,Standard fetch hit rate limit; CTA verified via browser-accessible page text.,unknown,,unknown,,unknown,,unknown,,unknown,,HTTPError: HTTP Error 429: Too Many Requests,https://www.tempus.com/
85,Viz.ai,https://www.viz.ai/,AI / clinical automation,Providers / health systems,AI product / workflow automation,This is the face of better outcomes.,Contact Us,https://www.viz.ai/contact-us,high,quantified outcomes/stats; customer proof; case studies,long,836,3240,155:222,156:263,image 87,73560,ok,https://www.viz.ai/,,yes,ai; AI; Artificial Intelligence; Agentic; artificial intelligence,yes,Google Tag Manager; LinkedIn Insight; Pardot / Salesforce; Hotjar; Intercom,yes,"Viz.ai Launches Viz Pulmonary Suite, the First Comprehensive AI-Powered Solution -> https://www.viz.ai/news/viz-ai-launches-viz-pulmonary-suite | Customer Resources -> https://www.viz.ai/customer-resources | User Guides (EU only) -> https://www.viz.ai/user-guides | See the resource -> https://www.viz.ai/publications/detection-of-hypertrophic-cardiomyopathy-on-electrocardiogram-using-artificial-intellige | All Resources -> https://www.viz.ai/resources",no,,yes,Trust Center -> https://www.viz.ai/trust-center | US Privacy Policy -> https://www.viz.ai/privacy-policy | EU Platform User Privacy Policy -> https://www.viz.ai/privacy-policies-customers-eu | EU Non Platform User Privacy Policy -> https://www.viz.ai/privacy-policies-customers-non-eu | Trust Center Privacy Notice -> https://www.viz.ai/trust-center-privacy-notice,ok,https://www.viz.ai/
86,Aidoc,https://www.aidoc.com/,AI / clinical automation,Providers / health systems,AI product / workflow automation,See what matters. Less noise. More focus.,Contact,https://www.aidoc.com/about/contact/,high,quantified outcomes/stats; customer proof; case studies,medium,834,2084,155:226,156:266,image 88,74589,ok,https://www.aidoc.com/,,yes,AI,yes,Google Tag Manager; Cookiebot / OneTrust,yes,"See the latest research, case studies, tips and more to start improving outcomes -> https://www.aidoc.com/learn/ | Resources -> https://www.aidoc.com/learn/ | Blog -> https://www.aidoc.com/learn/blog/?_content_type=post | Ebooks & Whitepapers -> https://www.aidoc.com/learn/ebooks-whitepapers/?_content_type=ebooks-a-whitepapers | Webinars -> https://www.aidoc.com/learn/webinars/?_content_type=webinars",yes,"AI Path Navigate AI implementation with resources, workshops and training that g -> https://www.aidoc.com/ai-path-program/",yes,Security & Privacy -> https://www.aidoc.com/about/security-privacy/ | Privacy Policy -> https://www.aidoc.com/privacy-policy/ | Data Privacy Framework Notice -> https://www.aidoc.com/data-privacy-framework-notice/ | Quality Compliance -> https://www.aidoc.com/quality-compliance/,ok,https://www.aidoc.com/
87,Color Health,https://color.com/,Data / interoperability / life sciences,Healthcare enterprises / life sciences,Data platform / infrastructure,Care for cancer. Reinvented. | A new model for cancer care,Contact Us,https://color.com/contact-us,high,quantified outcomes/stats,very long,834,5501,155:230,156:325,image 89,75617,ok,https://color.com/,,yes,AI,yes,Google Tag Manager; Marketo,yes,"Newsroom Color news, announcements, and media coverage. -> https://color.com/newsroom | Resources -> https://color.com/ | Blog Insights and perspectives on next-generation cancer care. -> https://color.com/blog | Content Library Cancer care insights and resources. -> https://color.com/content-library | Why oncofertility support gaps are a growing employer risk Read more -> https://learn.color.com/Maven-Survey-Webinar-6-22-26.html",yes,"Color Swab Based HPV Test for Cervical Cancer Screening Read more -> https://learn.color.com/rs/878-SLQ-748/images/Color-Swab-based-HPV-Test-for-Cervical-Cancer-Screening.pdf?version=0 | Why oncofertility support gaps are a growing employer risk Read more -> https://learn.color.com/Maven-Survey-Webinar-6-22-26.html | Cancer, fertility, and the breakdown between coverage and care Read more -> https://learn.color.com/Color-Maven-Report-2026.html",yes,Terms of Service -> https://color.com/policies/tos | Privacy Policy -> https://color.com/policies/privacy | Notice of Privacy Practices -> https://color.com/policies/notice-of-privacy-practices | Consumer Health Data Privacy Policy -> https://color.com/consumer-health-data-privacy-policy | Your Privacy Choices -> https://color.com/,ok,https://color.com/
88,Cleerly,https://cleerlyhealth.com/,AI / clinical automation,Providers / health systems,AI product / workflow automation,See Cleerly.Act early.,Contact,https://cleerlyhealth.com/contact,high,quantified outcomes/stats,medium,832,2170,155:234,157:328,image 90,76644,ok,https://cleerlyhealth.com/,,yes,AI,yes,Google Analytics / gtag; Google Tag Manager; HubSpot; VWO,yes,Resources -> https://cleerlyhealth.com/ | Blog -> https://cleerlyhealth.com/blog | Webinars -> https://cleerlyhealth.com/webinars | Events -> https://cleerlyhealth.com/events | Imaging Protocols -> https://cleerlyhealth.com/imaging-resources,no,,yes,Terms & Conditions -> https://cleerlyhealth.com/terms-conditions | Privacy Policy -> https://cleerlyhealth.com/privacy-policy | Consumer Health Privacy Policy -> https://cleerlyhealth.com/consumer-health-privacy-policy,ok,https://cleerlyhealth.com/
89,Komodo Health,https://www.komodohealth.com/,Data / interoperability / life sciences,Healthcare enterprises / life sciences,Data platform / infrastructure,Ask Any Question About Healthcare and Get an Answer You Can Use,Get a Demo,https://www.komodohealth.com/get-demo/,high,quantified outcomes/stats,long,828,3212,156:284,157:331,image 91,77668,ok,https://www.komodohealth.com/,,yes,AI,yes,Google Tag Manager; HubSpot; Cookiebot / OneTrust,yes,"MarmotReproducible, traceable, and governed AI insights you can defend and show  -> https://www.komodohealth.com/product/marmot/ | Resources -> https://www.komodohealth.com/resources/ | Komodo PerspectivesDelve into industry trends, expert insights, and data-driven  -> https://www.komodohealth.com/perspectives/ | PressStay informed with Komodo’s newsroom: your source for company updates, prod -> https://www.komodohealth.com/press/ | NewsCheck out the latest headlines from Komodo Health. -> https://www.komodohealth.com/news/",no,,yes,Privacy Notice -> https://www.komodohealth.com/privacy-notice/ | Trust Center -> https://trust.komodohealth.com/ | Global Expert Privacy Notice -> https://www.komodohealth.com/global-expert-privacy-notice/ | Terms of Service -> https://www.komodohealth.com/terms-of-service/ | Do Not Sell My Info -> https://komodohealth-privacy.my.onetrust.com/webform/5c3cf8b1-3cf1-422d-84d5-618844b7316f/580adaab-6481-479f-9643-50464e,ok,https://www.komodohealth.com/
90,Veeva,https://www.veeva.com/,Data / interoperability / life sciences,Healthcare enterprises / life sciences,Data platform / infrastructure,Building the Industry Cloud for Life Sciences,Contact Sales 866-417-3024,https://www.veeva.com/contact-us/,high,quantified outcomes/stats; customer proof,very long,828,4614,156:288,157:334,image 92,78690,ok,https://www.veeva.com/,,yes,AI; Agentic,yes,Marketo; Cookiebot / OneTrust,yes,"Veeva SafetyAdverse Event management -> https://www.veeva.com/products/veeva-safety/ | Insights -> https://www.veeva.com/ | Veeva Link Medical InsightsAccelerate insights from capture to action -> https://www.veeva.com/products/veeva-link/medical-insights/ | Commercial Evidence™Transform field and digital interactions into actionable ins -> https://www.veeva.com/commercial-evidence/ | Events ManagementLive, virtual, and hybrid events -> https://www.veeva.com/products/crm-suite/events-management/",yes,Industry Report 65% of Agentic Call Reports Reveal Actionable Treatment Barriers -> https://www.veeva.com/resources/agentic-commercial-trends-report-1q26/,yes,Veeva TrainingEnsure role-based qualification and compliance -> https://www.veeva.com/products/veeva-training/ | Veeva Training Ensure role-based qualification and compliance -> https://www.veeva.com/products/veeva-training/ | Do Not Sell or Share My Personal Information -> https://www.veeva.com/privacy/do-not-sell-share/ | Privacy Notice -> https://www.veeva.com/privacy/,ok,https://www.veeva.com/
91,H1,https://h1.co/,Data / interoperability / life sciences,Healthcare enterprises / life sciences,Data platform / infrastructure,Connecting the world with the right doctor.,Request a Demo,https://h1.co/request-demo/,high,quantified outcomes/stats; customer proof; case studies,long,834,3593,156:292,157:337,image 93,79715,ok,https://h1.co/,,yes,AI,yes,Google Analytics / gtag; Google Tag Manager; HubSpot,yes,"HCP Universe – Discover top HCPs and KOLs, with real-time insights to drive targ -> https://h1.co/medical/hcp-universe/ | Medical Intelligence Streams – Tailored data feeds for deep HCP and patient insi -> https://h1.co/medical/medical-intelligence-streams/ | Prescriber Universe – Pinpoint top prescribers and influencers with in-depth HCP -> https://h1.co/commercial/prescriber-universe/ | Learn More -> https://h1.co/resources/report-the-state-of-provider-data-accuracy/ | Learn More -> https://h1.co/resources/how-cti-discovers-hidden-site-opportunities/",yes,Learn More -> https://h1.co/resources/report-the-state-of-provider-data-accuracy/,yes,https://h1.co/blog/your-provider-data-foundation-for-compliance-accuracy-and-mem -> https://h1.co/blog/your-provider-data-foundation-for-compliance-accuracy-and-member-trust/ | Read more -> https://h1.co/blog/your-provider-data-foundation-for-compliance-accuracy-and-member-trust/ | Terms of Use -> https://h1.co/terms-of-use/ | Privacy Policy -> https://h1.co/privacy-policy/,ok,https://h1.co/
92,Medable,https://www.medable.com/,Data / interoperability / life sciences,Healthcare enterprises / life sciences,Data platform / infrastructure,"Clinical development, meet agentic AI. | Medable's 1:1:1 vision",Contact,https://www.medable.com/company/contact,high,HIPAA; quantified outcomes/stats; case studies,long,960,4096,156:296,157:340,image 94,80806,ok,https://www.medable.com/,,yes,Agentic; AI; agentic,yes,Google Analytics / gtag; Google Tag Manager; Marketo; Pardot / Salesforce; Cookiebot / OneTrust,yes,Resources -> https://www.medable.com/ | Knowledge Center -> https://www.medable.com/resources/knowledge-center | Events -> https://www.medable.com/resources/events | Impact Tracker -> https://www.medable.com/resources/impact-tracker | FAQ -> https://www.medable.com/resources/faq,yes,Case Study -> https://cdn.prod.website-files.com/63f6c0d2675ee198a17d310a/667185f1325e39c370187d62_057-2405-Case%20study%20for%20eCOA_ | Case Study -> https://cdn.prod.website-files.com/63f6c0d2675ee198a17d310a/689f5b780acc6dc5e0bd0aa0_Case%20study_Removing%20translation | Case Study -> https://cdn.prod.website-files.com/63f6c0d2675ee198a17d310a/6826318202458ee812574c25_PUB-119-2504-Case%20studyMedable%20 | Case Study -> https://cdn.prod.website-files.com/63f6c0d2675ee198a17d310a/67a225a09344c69acb3f888e_Medable%20beats%20forecasted%20FPI%,yes,Privacy -> https://www.medable.com/legal/privacy-center | Legal -> https://www.medable.com/legal/legal | Terms of Use -> https://www.medable.com/legal/terms-of-use | Do not sell or share my personal information -> https://www.medable.com/legal/california-rights,ok,https://www.medable.com/
93,Medallion,https://medallion.co/,Revenue cycle / admin workflow,Providers / healthcare operators,Healthcare operations platform,Better outcomes for credentialing. Faster paths to billable providers.,Pricing,https://medallion.co/pricing,low,quantified outcomes/stats; customer proof; case studies,very long,960,4676,156:300,157:376,image 95,81960,ok,https://medallion.co/,CTA appears to be pricing-oriented on live page; keep for manual review if ranking conversion intent.,yes,AI,yes,Google Tag Manager; Qualified,yes,Resource library -> https://medallion.co/resources | Blog -> https://medallion.co/resources/blog | Case studies -> https://medallion.co/resources/case-studies | Press & news -> https://medallion.co/about-medallion/press | https://medallion.co/resources/blog/medallion-named-to-inc-2026-best-workplaces- -> https://medallion.co/resources/blog/medallion-named-to-inc-2026-best-workplaces-list,no,,yes,Compliance -> https://medallion.co/compliance | Privacy Policy -> https://medallion.co/privacy | Terms of Use -> https://medallion.co/terms,ok,https://medallion.co/
94,Incredible Health,https://www.incrediblehealth.com/,Workforce marketplace,Clinicians / healthcare employers,Healthcare workforce platform,"The largest healthcare career marketplace, now with AI voice agents Gale & Lyn | Incredible solutions, powered by AI",Book a demo,https://www.incrediblehealth.com/book-a-demo/,high,quantified outcomes/stats; customer proof; case studies,long,766,4096,156:304,158:379,image 96,83017,ok,https://www.incrediblehealth.com/,,yes,AI,yes,Google Tag Manager; HubSpot; Mixpanel; Intercom,yes,Career growth -> https://www.incrediblehealth.com/career-resources/ | Nurse blog -> https://www.incrediblehealth.com/blog/ | Tech blog -> https://www.incrediblehealth.com/tech/ | 2025 State of Nurses & Technicians Report -> https://www.incrediblehealth.com/annual-report/ | Webinars -> https://www.incrediblehealth.com/blog/employers/webinar/,yes,2025 State of Nurses & Technicians Report -> https://www.incrediblehealth.com/annual-report/ | Webinars -> https://www.incrediblehealth.com/blog/employers/webinar/ | Annual reports -> https://www.incrediblehealth.com/annual-report/,yes,Incredible Health Trust Center -> https://trust.incrediblehealth.com/ | Privacy -> https://www.incrediblehealth.com/privacy/,ok,https://www.incrediblehealth.com/
95,Nomad Health,https://nomadhealth.com/,Workforce marketplace,Clinicians / healthcare employers,Healthcare workforce platform,"Find your next travel nursing orallied health job! | Join 400,000+ clinicians using Nomad today!",Contact UsGet in touch,https://nomadhealth.com/contact-us,high,quantified outcomes/stats,medium,758,2353,156:308,158:383,image 97,83966,ok,https://nomadhealth.com/,,no,,yes,Cookiebot / OneTrust,yes,"Nomad BlogExpert tips, stories & support for traveling clinicians -> https://nomadhealth.com/blog | Get StartedDiscover helpful resources for new travelers -> https://nomadhealth.com/faqs/getting-started | How-To GuidesExplore our collection of how-to guides -> https://nomadhealth.com/faqs/how-to-guides",no,,yes,Privacy Policy -> https://nomadhealth.com/privacy | Terms of Service -> https://nomadhealth.com/tos | Do Not Sell or Share My Personal Information -> https://nomadhealth.com/privacy#jurisdiction-specific-notices,ok,https://nomadhealth.com/
96,Overjet,https://www.overjet.com/,AI / clinical automation,Providers / health systems,AI product / workflow automation,DENTAL AI TO ENHANCE CARE AND REDUCE ADMIN COST,Book a demo,,high,HIPAA; quantified outcomes/stats; customer proof,long,756,3605,156:312,158:386,image 98,84917,ok,https://www.overjet.com/,,yes,AI,yes,Google Analytics / gtag; Google Tag Manager; Meta / Facebook Pixel; LinkedIn Insight,yes,Read MoreBIG NEWS Dental Care Alliance becomes the first DSO to deploy Overjet A -> https://www.overjet.com/dca | Resources -> https://www.overjet.com/resources | DSO AnalyticsClinical insights to help manage and grow the business -> https://www.overjet.com/solutions/dsos#improve-care-at-every-level-of-your-org | RecruitingNationwide provider data with UM insights -> https://www.overjet.com/solutions/insurers/provider-management#recruiting | WebinarsExpert insights and discussions -> https://www.overjet.com/resources/webinars,no,,yes,Privacy Policy -> https://www.overjet.com/privacy-policy | Cookie Notice -> https://www.overjet.com/legal/cookie-notice | Terms & Conditions -> https://www.overjet.com/terms-and-conditions | HIPAA Policy -> https://www.overjet.com/hipaa-policy | Trust Center -> https://www.overjet.com/legal/trust-center,ok,https://www.overjet.com/
97,Dandy,https://www.meetdandy.com/,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,The first AI-powered dental lab,GET STARTED,https://www.meetdandy.com/get-started/,high,quantified outcomes/stats,very long,756,5357,156:316,158:389,image 99,85867,ok,https://www.meetdandy.com/,,yes,AI,yes,Google Tag Manager; Marketo; Cookiebot / OneTrust,yes,Product Catalog with Turnaround Times -> https://www.meetdandy.com/product-guide-1/ | Read more -> https://www.meetdandy.com/product-guide-1/ | Explore All Resources -> https://www.meetdandy.com/learning-center/ | Articles -> https://www.meetdandy.com/articles/ | Guides -> https://www.meetdandy.com/ebooks/,yes,Product Catalog with Turnaround Times -> https://www.meetdandy.com/product-guide-1/ | Read more -> https://www.meetdandy.com/product-guide-1/ | Lab Product Catalog -> https://www.meetdandy.com/product-guide/,yes,Terms of Use -> https://www.meetdandy.com/terms-of-use/ | Privacy Policy -> https://www.meetdandy.com/privacy-policy/ | Privacy Requests -> https://www.meetdandy.com/privacy-requests/,ok,https://www.meetdandy.com/
98,Tebra,https://www.tebra.com/,Revenue cycle / admin workflow,Providers / healthcare operators,Healthcare operations platform,Run your entire practice with one EHR+ platform,Get a demo,https://www.tebra.com/demo,high,HIPAA; quantified outcomes/stats; customer proof; case studies,long,756,4236,157:370,158:392,image 100,86817,ok,https://www.tebra.com/,,yes,AI,yes,Google Analytics / gtag; Google Tag Manager; VWO; Cookiebot / OneTrust,yes,"Case Studies -> https://www.tebra.com/case-studies | Resource LibraryAccess valuable guides, tools, and insights in Tebra’s resource  -> https://www.tebra.com/resource-library | News RoomStay up to date with what’s new and notable in the world of Tebra. -> https://www.tebra.com/newsroom | All Case studies -> https://www.tebra.com/case-studies | The after-hours charting report -> https://www.tebra.com/theintake/healthcare-reports/after-hours-charting-report",yes,The after-hours charting report -> https://www.tebra.com/theintake/healthcare-reports/after-hours-charting-report,yes,Terms & Conditions -> https://www.tebra.com/tebra-terms-of-service | Privacy Policy -> https://www.tebra.com/privacy-policy,ok,https://www.tebra.com/
